customer_id,first_name,last_name,age,gender,country,city,registration_date,acquisition_channel,customer_segment,preferred_language,tenure_days,total_watch_time_minutes,total_viewing_sessions,average_completion_percentage,average_rating,feedback_count,support_ticket_count,average_support_satisfaction,has_support_satisfaction,successful_payment_count,total_successful_payment_amount,failed_payment_count,subscription_count,has_plan_change,is_active_subscription,average_watch_time_per_session,unique_titles_watched,active_viewing_days,current_plan,payment_failure_rate,favorite_genre,unique_genres_watched,current_subscription_tenure_days,has_failed_payment
CUST000744,Riya,Santos,21.0,Female,United Kingdom,Liverpool,2019-06-03,Organic Search,Individual,English,2584,266.0,5.0,70.2,3.0,1.0,0.0,,0,13.0,298.87,2.0,1,0,1,53.2,5.0,5.0,PLAN03,0.13333333333333333,Action,5,2584,1
CUST001502,Ananya,Hussain,31.0,Male,Canada,Montreal,2026-01-13,Referral,Family,French,168,309.0,5.0,72.8,0.0,0.0,0.0,,0,5.0,34.95,0.0,1,0,1,61.8,5.0,5.0,PLAN01,0.0,Sports,4,168,0
CUST005383,Zara,Banda,40.0,Male,U.K.,Leeds,2023-06-17,Paid Social,Student,English,1109,295.0,6.0,76.5,4.0,1.0,0.0,,0,14.0,90.87,1.0,1,0,1,49.166666666666664,6.0,6.0,PLAN01,0.06666666666666667,Comedy,6,1109,1
CUST004708,Fernando,Okonkwo,27.0,Male,United Kingdom,Manchester,2019-03-09,Partner Bundle (Telecom),Individual,Hindi,2670,426.0,11.0,64.0,0.0,0.0,0.0,,0,14.0,216.86,1.0,1,0,0,38.72727272727273,11.0,11.0,PLAN02,0.06666666666666667,Documentary,8,2670,1
CUST005877,Gabriela,Nair,36.0,Male,Indonesia,Jakarta,2025-12-03,Email Campaign,Student,French,209,286.0,5.0,60.8,0.0,0.0,0.0,,0,5.0,91.96,1.0,1,0,1,57.2,5.0,5.0,PLAN03,0.16666666666666666,Action,5,209,1
CUST003762,Elijah,Sheikh,29.0,Male,Poland,Warsaw,2025-10-12,App Store,Student,English,261,524.0,11.0,74.54545454545455,4.0,1.0,0.0,,0,7.0,108.43,1.0,1,0,1,47.63636363636363,11.0,11.0,PLAN02,0.125,Drama,8,261,1
CUST007892,Ethan,Lim,31.0,Female,JAPAN,Yokohama,2025-08-31,Direct,Individual,Hindi,303,400.0,8.0,72.375,1.5,2.0,1.0,,0,10.0,192.08,0.0,1,0,1,50.0,8.0,8.0,PLAN02,0.0,Comedy,6,303,0
CUST002317,Ananya,Oliveira,38.0,Female,India,Kolkata,2020-04-21,Paid Social,Family,English,2261,271.0,7.0,65.57142857142857,3.3333333333333335,3.0,0.0,,0,15.0,104.85000000000001,0.0,1,0,1,38.714285714285715,7.0,7.0,PLAN01,0.0,Horror,5,2261,0
CUST005609,Isabella,Adeyemi,38.0,Female,Canada,Montreal,2023-01-03,App Store,Individual,Korean,1274,508.0,13.0,73.23076923076923,0.0,0.0,1.0,2.0,1,15.0,216.86,0.0,1,0,1,39.07692307692308,13.0,13.0,PLAN02,0.0,Horror,9,1274,0
CUST000519,Leo,Nakamura,29.0,Male,Brazil,Fortaleza,2024-02-07,Paid Social,Family,English,874,915.0,18.0,62.22222222222222,0.0,0.0,2.0,4.0,1,15.0,344.84999999999997,0.0,2,1,1,50.833333333333336,17.0,18.0,PLAN03,0.0,Action,11,434,0
CUST007084,Huda,Miller,48.0,Female,Italy,Turin,2021-11-21,Referral,Individual,Hindi,1682,366.0,7.0,78.42857142857143,3.0,1.0,1.0,3.0,1,15.0,232.35,0.0,1,0,1,52.285714285714285,7.0,7.0,PLAN02,0.0,Sci-Fi,5,1682,0
CUST001439,Aditya,Kumar,44.0,Female,India,Chennai,2024-09-10,Email Campaign,Individual,Hindi,658,524.0,9.0,79.33333333333333,0.0,0.0,1.0,,0,14.0,97.86,1.0,1,0,0,58.22222222222222,9.0,9.0,PLAN01,0.06666666666666667,Fantasy,6,658,1
CUST005082,Maya,Rahman,44.0,Prefer not to say,Australia,Melbourne,2025-05-15,Referral,Corporate Bundle,Portuguese,411,227.0,5.0,54.2,5.0,1.0,1.0,3.0,1,12.0,83.88,1.0,1,0,0,45.4,5.0,5.0,PLAN01,0.07692307692307693,Anime,5,411,1
