customer_id,first_name,last_name,age,gender,country,city,registration_date,acquisition_channel,customer_segment,preferred_language
CUST000744,Riya,Santos,21.0,Female,United Kingdom,Liverpool,2019-06-03,Organic Search,Individual,English
CUST001502,Ananya,Hussain,31.0,Male,Canada,Montreal,2026-01-13,Referral,Family,French
CUST005383,Zara,Banda,40.0,Male,U.K.,Leeds,2023-06-17,Paid Social,Student,English
CUST004708,Fernando,Okonkwo,27.0,Male,United Kingdom,Manchester,2019-03-09,Partner Bundle (Telecom),Individual,Hindi
CUST005877,Gabriela,Nair,36.0,Male,Indonesia,Jakarta,2025-12-03,Email Campaign,Student,French
CUST003762,Elijah,Sheikh,29.0,Male,Poland,Warsaw,2025-10-12,App Store,Student,English
CUST007892,Ethan,Lim,31.0,Female,JAPAN,Yokohama,2025-08-31,Direct,Individual,Hindi
CUST002317,Ananya,Oliveira,38.0,Female,India,Kolkata,2020-04-21,Paid Social,Family,English
CUST005609,Isabella,Adeyemi,38.0,Female,Canada,Montreal,2023-01-03,App Store,Individual,Korean
CUST000519,Leo,Nakamura,29.0,Male,Brazil,Fortaleza,2024-02-07,Paid Social,Family,English
CUST007084,Huda,Miller,48.0,Female,Italy,Turin,2021-11-21,Referral,Individual,Hindi
CUST001439,Aditya,Kumar,44.0,Female,India,Chennai,2024-09-10,Email Campaign,Individual,Hindi
CUST005082,Maya,Rahman,44.0,Prefer not to say,Australia,Melbourne,2025-05-15,Referral,Corporate Bundle,Portuguese
CUST005039,Olivia,Martin,19.0,Male,Indonesia,Jakarta,2019-09-08,Paid Social,Family,English
CUST005813,Joseph,Richard,19.0,Male,Canada,Calgary,2024-11-01,Direct,Family,English
CUST003648,Sarah,Santos,31.0,Female,Canada,Calgary,2024-01-09,App Store,Student,Portuguese
CUST000223,Olivia,Bernard,18.0,Male,India,Delhi,2024-11-05,Affiliate Partner,Student,English
CUST005966,Camila,Durand,41.0,Female,Canada,Montreal,2024-05-29,Email Campaign,Individual,Portuguese
CUST002883,Amina,Wu,35.0,Female,United States,Austin,2024-04-30,Organic Search,Individual,Korean
CUST003459,Charlie,Lee,45.0,Female,Britain,Birmingham,2020-06-23,App Store,Individual,Portuguese
CUST003269,Charlotte,Reddy,40.0,Male,France,Marseille,2024-04-26,Organic Search,Individual,Arabic
CUST004530,Tao,Pereira,33.0,Female,United Arab Emirates,Abu Dhabi,2024-11-10,Affiliate Partner,Student,English
CUST005457,Ahmed,Kumar,31.0,Female,Nigeria,Ibadan,2025-03-22,Affiliate Partner,Individual,Hindi
CUST000801,Sami,Silva,25.0,Female,United States,Miami,2019-08-21,Organic Search,Individual,Korean
CUST000737,Saanvi,Chowdhury,32.0,Prefer not to say,United States,Los Angeles,2026-05-01,Referral,Individual,English
CUST004175,Matthew,Otieno,42.0,Male,United Arab Emirates,Sharjah,2026-03-06,Referral,Family,Spanish
CUST004740,Jessica,Chen,145.0,Prefer not to say,United States,Houston,2026-03-12,Organic Search,Individual,Hindi
CUST007520,Noor,Park,43.0,Male,Germany,Frankfurt,2025-01-15,Referral,Individual,Tagalog
CUST007643,Gabriela,Ali,17.0,Female,United States,Houston,2024-04-02,Direct,Individual,Italian
CUST007373,Sarah,Garcia,64.0,Male,India,Delhi,2024-11-13,Organic Search,Corporate Bundle,Portuguese
CUST004901,Oliver,Zhao,19.0,Female,United Kingdom,Liverpool,2019-03-12,Email Campaign,Student,German
CUST006693,Yui,Sheikh,32.0,Female,Germany,Berlin,2023-08-03,Paid Social,Individual,German
CUST007804,Sai,Verma,34.0,Other,India,Mumbai,2025-07-08,Paid Social,Individual,Indonesian
CUST004464,Aarav,Santos,36.0,Female,India,Delhi,2021-05-28,Organic Search,Individual,French
CUST003018,Alejandro,Banda,37.0,Female,Italy,Rome,2026-02-13,Direct,Individual,Arabic
CUST000534,Yong,Yamamoto,40.0,Female,United States,Austin,2022-10-15,App Store,Individual,Italian
CUST001043,Vivaan,Schmidt,51.0,Male,Canada,Calgary,2022-08-15,Paid Social,Individual,Portuguese
CUST002663,Alexander,Petit,27.0,Female,India,Kolkata,2024-02-06,Organic Search,Family,English
CUST003711,Jose,Verma,30.0,Female,Spain,Madrid,2020-01-25,Email Campaign,Family,French
CUST004776,Valentina,Mwangi,41.0,Male,Canada,Montreal,2021-10-26,Referral,Corporate Bundle,English
CUST004363,Alejandro,Kobayashi,25.0,Other,Mexico,Mexico City,2022-04-01,Paid Social,Individual,Portuguese
CUST006578,James,Rahman,55.0,Male,United Arab Emirates,Dubai,2019-12-18,Affiliate Partner,Individual,English
CUST002277,Ming,Ahmed,30.0,Female,United Kingdom,Manchester,2026-03-13,Organic Search,Individual,English
CUST003308,Andrew,Suzuki,13.0,Female,India,Delhi,2025-04-17,Paid Social,Individual,Portuguese
CUST003347,Carlos,Li,44.0,Male,India,Pune,2020-09-29,App Store,Family,English
CUST006224,Anika,Ahmed,13.0,Male,India,Bengaluru,2022-12-16,Organic Search,Corporate Bundle,Portuguese
CUST005545,Alejandro,Takahashi,34.0,Female,United States,Houston,2025-01-16,App Store,Individual,English
CUST003817,Patricia,Wu,20.0,Female,United States,Phoenix,2024-11-24,Affiliate Partner,Individual,English
CUST006028,Luis,Martinez,32.0,Female,Mexico,Monterrey,2019-01-06,Paid Social,Individual,Portuguese
CUST007091,Sarah,Park,23.0,Other,United States,Guadalajara,2022-04-29,Referral,Individual,English
CUST002800,Pari,Menon,45.0,Female,BRAZIL,Fortaleza,2024-11-25,Paid Social,Corporate Bundle,English
CUST001895,Ricardo,Adeyemi,32.0,Male,United States,Los Angeles,2022-11-26,App Store,Individual,Korean
CUST006837,Henry,Sato,32.0,Female,India,Pune,2025-01-02,Paid Social,Individual,English
CUST007061,Jessica,Santos,16.0,Female,Japan,Osaka,2024-05-08,Organic Search,Family,English
CUST002132,Vivaan,Tanaka,38.0,Female,United Kingdom,Glasgow,2024-10-06,App Store,Family,Arabic
CUST003081,Jack,Park,56.0,Female,india,Ahmedabad,2020-10-19,App Store,Student,English
CUST005698,Zola,Ahmed,27.0,Prefer not to say,Indonesia,Surabaya,2024-05-16,Paid Social,Individual,Arabic
CUST004514,Paula,Iyer,30.0,Male,Poland,Krakow,2024-06-07,Referral,Individual,English
CUST002264,Sota,Silva,26.0,Female,United Kingdom,Manchester,2022-05-30,Organic Search,Individual,Indonesian
CUST001889,Sofia,Nakamura,42.0,Female,Germany,Hamburg,2021-07-17,Organic Search,Individual,Portuguese
CUST005350,Linda,Takahashi,26.0,Male,IN,Hyderabad,2026-02-28,Organic Search,Family,English
CUST003478,Alejandro,Schneider,48.0,Female,Germany,Hamburg,2024-06-12,Paid Social,Individual,Arabic
CUST003104,Lucas,Wu,33.0,Female,United States,Ottawa,2025-01-04,Paid Social,Family,Arabic
CUST001729,Huda,Lim,13.0,Male,Poland,Wroclaw,2023-01-31,Referral,Family,English
